Club,Location,club_name,latitude,longitude
Real Betis,Seville,Real Betis Balompié,37.3886303,-5.9953403
Real Madrid,Madrid,Real Madrid,40.4167047,-3.7035825
Real Sociedad,San Sebastián,Real Sociedad,43.3224219,-1.9838889
Sevilla,Seville,Sevilla FC,37.3886303,-5.9953403
Valencia,Valencia,Valencia CF,39.4697065,-0.3763353
Villarreal,Villarreal,Villarreal CF,39.9372616,-0.1004465
FC Augsburg,Augsburg,FC Augsburg,48.3668041,10.8986971
Bayer Leverkusen,Leverkusen,Bayer 04 Leverkusen,51.0324743,6.9881194
Bayern Munich,Munich,Bayern Munich,48.1371079,11.5753822
VfL Bochum,Bochum,VfL Bochum,51.4818111,7.2196635
Werder Bremen,Bremen,SV Werder Bremen,53.0758196,8.8071646
Borussia Dortmund,Dortmund,Borussia Dortmund,51.5142273,7.4652789
Borussia Mönchengladbach,Mönchengladbach,Borussia Mönchengladbach,51.1947131,6.4353792
Eintracht Frankfurt,Frankfurt,Eintracht Frankfurt,50.1106444,8.6820917
SC Freiburg,Freiburg im Breisgau,SC Freiburg,47.9960901,7.8494005
Hertha BSC,Berlin,Hertha BSC,52.5170365,13.3888599
1899 Hoffenheim,Sinsheim,TSG 1899 Hoffenheim,49.2553,8.87722
1. FC Köln,Cologne,1. FC Köln,50.938361,6.959974
RB Leipzig,Leipzig,RB Leipzig,51.3406321,12.3747329
Mainz 05,Mainz,1.FSV Mainz 05,50.0012314,8.2762513
Schalke 04,Gelsenkirchen,FC Schalke 04,51.5110321,7.0960124
VfB Stuttgart,Stuttgart,VfB Stuttgart,48.7784485,9.1800132
Union Berlin,Berlin,1.FC Union Berlin,52.5170365,13.3888599
VfL Wolfsburg,Wolfsburg,VfL Wolfsburg,52.4205588,10.7861682
Ajax,Amsterdam,Ajax Amsterdam,52.3730796,4.8924534
AZ,Alkmaar,SS Lazio,52.600853799999996,4.817099446443963
Cambuur,Leeuwarden,SC Cambuur-Leeuwarden,53.2005936,5.7918548
FC Emmen,Emmen,FC Emmen,52.75286615,6.952513466208563
Excelsior,Rotterdam,Excelsior Rotterdam,51.9244424,4.47775
Feyenoord,Rotterdam,Feyenoord Rotterdam,51.9244424,4.47775
Fortuna Sittard,Sittard,Fortuna Sittard,50.9974235,5.8666627
Go Ahead Eagles,Deventer,Go Ahead Eagles,52.2695736,6.236339604766698
